Epoch [259/400], Total Loss: 0.8885882087051868
Epoch [260/400], Total Loss: 0.8933811075985432


 66%|██████▌   | 262/400 [05:52<03:20,  1.45s/it]

 66%|██████▌   | 264/400 [05:54<03:10,  1.40s/it]
Epoch [263/400], Total Loss: 0.8357095345854759

 66%|██████▋   | 265/400 [05:56<03:06,  1.38s/it]

 66%|██████▋   | 266/400 [05:57<03:04,  1.38s/it]

 67%|██████▋   | 268/400 [06:01<03:23,  1.54s/it]
Epoch [267/400], Total Loss: 0.8463488556444645

 67%|██████▋   | 269/400 [06:02<03:16,  1.50s/it]

 68%|██████▊   | 271/400 [06:05<03:01,  1.41s/it]
Epoch [270/400], Total Loss: 0.8583403304219246

 68%|██████▊   | 272/400 [06:06<02:56,  1.38s/it]

 68%|██████▊   | 274/400 [06:09<02:55,  1.39s/it]
Epoch [273/400], Total Loss: 0.8834906592965126

 69%|██████▉   | 275/400 [06:10<02:53,  1.39s/it]

 69%|██████▉   | 276/400 [06:12<02:55,  1.42s/it]
Epoch [276/400], Total Loss: 0.8088616356253624
Epoch [277/400], Total Loss: 0.8102237842977047

 70%|██████▉   | 278/400 [06:14<02:49,  1.39s/it]

 70%|██████▉   | 279/400 [06:17<03:21,  1.67s/it]

 70%|███████   | 280/400 [06:18<03:07,  1.56s/it]
Epoch [281/400], Total Loss: 0.8052420318126678

 70%|███████   | 282/400 [06:21<02:56,  1.49s/it]


 71%|███████▏  | 285/400 [06:25<02:40,  1.40s/it]
Epoch [284/400], Total Loss: 0.8334101513028145
Epoch [285/400], Total Loss: 0.7688330337405205

 72%|███████▏  | 286/400 [06:26<02:41,  1.41s/it]

 72%|███████▏  | 287/400 [06:28<02:57,  1.57s/it]

 72%|███████▏  | 288/400 [06:30<02:49,  1.51s/it]
Epoch [289/400], Total Loss: 0.8287015110254288

 72%|███████▎  | 290/400 [06:32<02:37,  1.43s/it]

 73%|███████▎  | 291/400 [06:34<02:33,  1.40s/it]
Epoch [292/400], Total Loss: 0.8152706958353519

 73%|███████▎  | 293/400 [06:36<02:27,  1.38s/it]

 74%|███████▎  | 294/400 [06:38<02:26,  1.39s/it]
Epoch [295/400], Total Loss: 0.8022260293364525

 74%|███████▍  | 296/400 [06:41<02:24,  1.39s/it]

 74%|███████▍  | 297/400 [06:42<02:36,  1.52s/it]

 74%|███████▍  | 298/400 [06:44<02:29,  1.47s/it]
Epoch [299/400], Total Loss: 0.8072908706963062


 75%|███████▌  | 301/400 [06:48<02:18,  1.40s/it]
Epoch [301/400], Total Loss: 0.8181705251336098
Epoch [302/400], Total Loss: 0.8088660836219788


 76%|███████▌  | 304/400 [06:52<02:12,  1.39s/it]

 76%|███████▋  | 305/400 [06:54<02:38,  1.67s/it]

 77%|███████▋  | 307/400 [06:57<02:19,  1.50s/it]
Epoch [306/400], Total Loss: 0.7645685113966465

 77%|███████▋  | 308/400 [06:58<02:12,  1.44s/it]

 78%|███████▊  | 310/400 [07:01<02:05,  1.39s/it]
Epoch [309/400], Total Loss: 0.8168277442455292

 78%|███████▊  | 311/400 [07:02<02:02,  1.38s/it]

 78%|███████▊  | 313/400 [07:05<01:58,  1.36s/it]
Epoch [312/400], Total Loss: 0.7876590117812157

 78%|███████▊  | 314/400 [07:07<02:05,  1.46s/it]

 79%|███████▉  | 315/400 [07:08<02:01,  1.43s/it]

 79%|███████▉  | 317/400 [07:11<01:56,  1.40s/it]
Epoch [316/400], Total Loss: 0.7709412649273872

 80%|███████▉  | 318/400 [07:12<01:53,  1.38s/it]

 80%|████████  | 320/400 [07:15<01:50,  1.38s/it]
Epoch [319/400], Total Loss: 0.8253698348999023

 80%|████████  | 321/400 [07:16<01:49,  1.39s/it]
Epoch [321/400], Total Loss: 0.7346203289926052

 80%|████████  | 322/400 [07:18<01:48,  1.39s/it]
Epoch [323/400], Total Loss: 0.7480183802545071

 81%|████████  | 324/400 [07:21<01:51,  1.47s/it]

 81%|████████▏ | 325/400 [07:22<01:47,  1.44s/it]
Epoch [326/400], Total Loss: 0.7471904754638672


 82%|████████▏ | 328/400 [07:27<01:45,  1.46s/it]

 82%|████████▏ | 329/400 [07:28<01:43,  1.45s/it]

 83%|████████▎ | 331/400 [07:31<01:37,  1.41s/it]
Epoch [330/400], Total Loss: 0.7795641012489796
Epoch [331/400], Total Loss: 0.7697666920721531

 83%|████████▎ | 332/400 [07:32<01:36,  1.42s/it]

 83%|████████▎ | 333/400 [07:34<01:45,  1.57s/it]
Epoch [334/400], Total Loss: 0.7269930317997932

 84%|████████▍ | 335/400 [07:37<01:34,  1.45s/it]

 84%|████████▍ | 336/400 [07:38<01:30,  1.42s/it]
Epoch [337/400], Total Loss: 0.6917750425636768

 84%|████████▍ | 338/400 [07:41<01:27,  1.41s/it]

 85%|████████▍ | 339/400 [07:42<01:25,  1.40s/it]
Epoch [340/400], Total Loss: 0.7295564971864223

 85%|████████▌ | 341/400 [07:45<01:22,  1.39s/it]

 86%|████████▌ | 342/400 [07:47<01:32,  1.59s/it]

 86%|████████▌ | 343/400 [07:48<01:26,  1.52s/it]
Epoch [344/400], Total Loss: 0.6971725970506668


 86%|████████▋ | 346/400 [07:52<01:15,  1.40s/it]

