날짜,고가,저가,종가,MA-5,MA-15,EMA-5,EMA-15,RSI
2000-12-07,3260,3160,3260,3198.0,3265.3333333333335,3234.6509911850226,3263.459131587471,51.12359550561798
2000-12-08,3389,3260,3370,3236.0,3275.3333333333335,3279.7673274566823,3276.776740139037,57.6271186440678
2000-12-11,3630,3480,3580,3332.0,3307.3333333333335,3379.844884971122,3314.6796476216573,60.9375
2000-12-12,3650,3499,3500,3384.0,3330.0,3419.896589980748,3337.84469166895,59.09090909090909
2000-12-13,3779,3500,3780,3498.0,3372.6666666666665,3539.9310599871656,3393.114105210331,63.013698630136986
2000-12-14,3680,3560,3620,3570.0,3400.0,3566.6207066581105,3421.47484205904,55.092592592592595
2000-12-15,3640,3480,3490,3594.0,3406.0,3541.080471105407,3430.04048680166,42.40837696335078
2000-12-18,3590,3489,3560,3590.0,3391.3333333333335,3547.3869807369383,3446.2854259514525,51.16279069767442
2000-12-19,3570,3510,3530,3596.0,3392.0,3541.591320491292,3456.749747707521,60.689655172413794
2000-12-20,3450,3320,3340,3508.0,3400.0,3474.394213660862,3442.156029244081,53.086419753086425
2000-12-21,3300,3070,3240,3432.0,3400.0,3396.2628091072415,3416.8865255885707,51.807228915662655
2000-12-22,3300,3130,3140,3362.0,3397.3333333333335,3310.8418727381613,3382.2757098899992,51.19047619047619
2000-12-26,3240,3160,3160,3282.0,3401.3333333333335,3260.5612484921076,3354.491246153749,47.43589743589743
2001-01-02,3380,3140,3350,3246.0,3408.6666666666665,3290.374165661405,3353.9298403845305,54.06976744186046
2001-01-03,3420,3220,3370,3252.0,3419.3333333333335,3316.916110440937,3355.938610336464,53.25443786982248
2001-01-04,3870,3660,3780,3360.0,3454.0,3471.277406960625,3408.946284044406,60.301507537688444
2001-01-05,3920,3700,3900,3512.0,3489.3333333333335,3614.18493797375,3470.3279985388554,58.42105263157895
2001-01-08,3910,3780,3880,3656.0,3509.3333333333335,3702.7899586491667,3521.5369987214985,60.32608695652174
2001-01-09,3860,3710,3840,3754.0,3532.0,3748.5266390994448,3561.3448738813113,51.87499999999999
2001-01-10,3810,3700,3710,3822.0,3527.3333333333335,3735.6844260662965,3579.9267646461476,52.86624203821657
2001-01-11,3789,3640,3640,3794.0,3528.6666666666665,3703.7896173775316,3587.435919065379,54.966887417218544
2001-01-12,3890,3770,3840,3782.0,3552.0,3749.193078251688,3619.006429182207,58.53658536585366
2001-01-15,4020,3840,3920,3790.0,3576.0,3806.1287188344586,3656.630625534431,61.53846153846154
2001-01-16,4200,3850,4140,3850.0,3616.6666666666665,3917.4191458896394,3717.051797342627,73.25581395348837
2001-01-17,4240,4059,4220,3952.0,3675.3333333333335,4018.279430593093,3779.9203226747986,78.8235294117647
2001-01-18,4530,4240,4400,4104.0,3752.6666666666665,4145.519620395396,3857.4302823404487,85.3932584269663
2001-01-19,4699,4520,4600,4256.0,3850.0,4297.013080263598,3950.2514970478924,86.73469387755102
2001-01-22,4600,4470,4550,4382.0,3942.6666666666665,4381.342053509065,4025.220059916906,82.96703296703296
2001-01-26,4480,3970,3980,4350.0,3984.6666666666665,4247.561369006044,4019.567552427293,62.869198312236286
2001-01-29,4100,3960,4020,4310.0,4028.0,4171.707579337362,4019.6216083738814,55.99999999999999
2001-01-30,4170,4070,4110,4252.0,4050.0,4151.138386224909,4030.9189073271464,55.329949238578685
2001-01-31,4400,4090,4400,4212.0,4083.3333333333335,4234.092257483273,4077.054043911253,61.60714285714286
2001-02-01,4420,4190,4270,4156.0,4109.333333333333,4246.061504988849,4101.172288422346,59.227467811158796
2001-02-02,4390,4220,4290,4218.0,4139.333333333333,4260.7076699925665,4124.775752369553,63.06306306306306
2001-02-05,4200,3990,4030,4220.0,4160.666666666667,4183.805113328378,4112.928783323358,58.09128630705395
2001-02-06,4020,3910,4010,4200.0,4185.333333333333,4125.870075552252,4100.062685407938,53.81165919282511
2001-02-07,3990,3899,3900,4100.0,4189.333333333333,4050.5800503681685,4075.054849731946,49.557522123893804
2001-02-08,4059,3890,4060,4058.0,4198.666666666667,4053.7200335787793,4073.1729935154526,48.18181818181817
2001-02-09,4100,3980,4070,4014.0,4194.0,4059.14668905252,4072.7763693260213,46.478873239436616
2001-02-12,4050,3840,3970,4002.0,4177.333333333333,4029.431126035013,4059.9293231602687,39.51219512195122
2001-02-13,4100,3970,3980,3996.0,4149.333333333333,4012.954084023342,4049.9381577652352,33.33333333333333
2001-02-15,4210,4100,4130,4026.0,4080.0,4044.64625956593,4052.296402039008,55.39568345323742
2001-02-16,4310,4130,4250,4062.0,4098.0,4113.097506377287,4077.0093517841324,57.823129251700685
2001-02-19,4210,4100,4190,4106.0,4109.333333333333,4138.731670918191,4091.133182811116,52.77777777777778
2001-02-20,4280,4180,4240,4158.0,4118.0,4172.487780612128,4109.741534959727,43.33333333333333
2001-02-21,4200,4140,4160,4194.0,4102.0,4168.325187074752,4116.023843089761,45.21739130434783
2001-02-22,4100,3940,4010,4170.0,4084.6666666666665,4115.550124716501,4102.770862703541,39.0625
2001-02-23,3970,3830,3840,4088.0,4054.6666666666665,4023.7000831443343,4069.9245048655985,42.01680672268908
2001-02-27,3940,3790,3790,3928.0,4027.3333333333335,3904.977814730816,4009.785949037724,45.04504504504504
2001-02-28,3780,3700,3740,3844.0,4016.6666666666665,3849.9852098205442,3976.0627054080087,34.0
2001-03-02,3700,3580,3610,3764.0,3986.6666666666665,3769.990139880363,3930.3048672320074,29.464285714285708
2001-03-05,3720,3529,3720,3740.0,3963.3333333333335,3753.3267599202422,3904.0167588280065,38.93805309734513
2001-03-06,3850,3760,3800,3732.0,3952.0,3768.884506613495,3891.0146639745058,42.50000000000001
